name,rating,ratedby,price
Brooks Men’s Divide 5 GTX Waterproof Trail Running Shoe,,,139.0
ASOLO Fugitive GTX Hiking Boot - Men's,4.6/5,1256.0,149.0
Merrell Men's Walking Hiking Shoe,4.4/5,546.0,93.0
adidas Men's Terrex Swift Sneaker,4.3/5,1964.0,87.0
NVIDIA GEFORCE GTX 1080 Ti - FE Founders Edition (Renewed),4.1/5,40.0,229.0
"MSI Computer Video Graphic Cards GeForce GTX 1050 TI GAMING X 4G, 4GB",4.6/5,6800.0,235.0
Brooks Women’s Cascadia 17 GTX Waterproof Trail Running Shoe,3.6/5,28.0,119.0
ASICS Women's GT-2000 12 Running Shoe,4.3/5,190.0,109.0
Salomon Mens Quest 4Gtx High Rise Hiking Boots,4.5/5,1053.0,229.0
"ASUS TUF Gaming NVIDIA GeForce RTX™ 4070 OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1, DisplayPort 1.4a)",4.8/5,642.0,579.0
adidas Terrex Swift R3 GTX®,4.4/5,162.0,118.0
"EVGA GeForce GTX 1080 SC GAMING ACX 3.0, 8GB GDDR5X, LED, DX12 OSD Support (PXOC) Graphics Card 08G-P4-6183-KR (Renewed)",4.2/5,48.0,194.0
Altra Women's Olympus 5 Hike MID GTX Sneaker,4.0/5,67.0,119.0
Merrell Moab 3 GTX® Earth 10 M,3.8/5,5.0,122.0
Brooks Men’s Divide 4 GTX Waterproof Trail Running Shoe,4.0/5,56.0,99.0
Nike Men's Waterproof Trail Running Shoes,4.6/5,288.0,139.0
Altra Men's Olympus 5 Hike Low GTX Sneaker,3.9/5,71.0,118.0
"ASUS ROG Strix GeForce RTX™ 4060 OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6, DLSS 3, HDMI 2.1a, DisplayPort 1.4a, Axial-tech Fan Design, Aura Sync, 0dB Technology)",4.7/5,1985.0,369.0
MSI Gaming GeForce GTX 1050 Ti 4GB GDRR5 128-bit HDCP Support DirectX 12 TORX 2.0 Fan Graphics Card (GTX 1050 TI Gaming X 4G) (Renewed),4.2/5,47.0,171.0
"ZOTAC Gaming GeForce GTX 1660 Super 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact, ZT-T16620F-10L (Renewed)",4.1/5,5.0,164.0
La Sportiva Mens Nucleo High II GTX Hiking Boot,4.4/5,81.0,118.0
Salewa Wildfire GTX Approach Shoe - Men's,4.5/5,2933.0,118.0
EVGA GeForce GTX 1070 Gaming ACX 3.0 Black Edition Graphic Cards (08G-P4-5171-KR),4.6/5,2223.0,
"EVGA GeForce GTX 1060 SC GAMING, ACX 2.0 (Single Fan), 6GB GDDR5, DX12 OSD Support (PXOC), 06G-P4-6163-KR (Renewed)",4.3/5,7.0,144.0
Lowa Men's Zephyr GTX Mid Hiking Boot,4.6/5,285.0,259.0
ASOLO Supertrek GTX Hiking Boots - Men's,5.0/5,2.0,200.0
"HOKA ONE ONE Anacapa 2 Mid GTX Womens Shoes, Dune/Ice Flow",4.0/5,2.0,179.0
Merrell Men's Moab 2 GTX Hiking Shoe,4.5/5,4273.0,64.0
Inov-8 Men's G 345 GTX V2 Sneaker,4.0/5,3.0,74.0
Men's Olympus 5 Hike Mid GTX AL0A7R6Q Trail Running,3.9/5,117.0,119.0
ASICS Women's Gel-Sonoma 7 Running Shoes,4.5/5,25.0,69.0
La Sportiva Womens Ultra Raptor II Mid GTX Hiking Boot,4.4/5,81.0,153.0
"Arc'teryx Men's Aerios GTX Shoe - Mens Hiking Shoes - Lightweight Hiking & Trekking Shoe, GORE-TEX Waterproof, Breathable, Support for Outdoor Exploration",4.5/5,32.0,180.0
Salewa Rapace GTX Mountaineering Boot - Men's,4.4/5,853.0,279.0
Altra Men's Olympus 5 Hike MID GTX Sneaker,3.9/5,34.0,119.0
Merrell Moab 3 Mid GTX® Walnut 11.5 W,4.9/5,12.0,89.0
La Sportiva Mens Spire GTX Hiking Shoes,4.4/5,207.0,198.0
ALTRA men's Olympus 6 Hike Low Gtx Shoe,,,199.0
Brooks Women’s Cascadia 18 GTX Waterproof Mountain Trail Running Shoe,,,139.0
LOWA mens,4.4/5,105.0,190.0
Arc'teryx Aerios Mid GTX Shoe Men's | Fast and Light Gore-Tex Hiking Shoe,4.3/5,24.0,190.0
Salomon Outpulse Mid Gore-Tex for Men Hiking Shoe,4.4/5,17.0,164.0
Salomon Men's XA PRO 3D GORE-TEX Trail Running Shoes for Men,4.5/5,9015.0,170.0
La Sportiva Womens Spire GTX Low Hiking Shoes,4.1/5,113.0,119.0
Merrell Men's Walking Hiking Shoe,4.4/5,546.0,142.0
Danner Trail 2650 3” Waterproof Hiking Shoes for Men - Durable Leather & Textile Upper with Breathable Gore-Tex Lining and Vibram Traction Outsole,4.4/5,223.0,189.0
Brooks Men's Ghost 15 Neutral Running Shoe,4.7/5,6280.0,94.0
Salomon Men's Speedcross 6 GTX Sneaker,3.1/5,6.0,165.0
Merrell Moab 3 Mid GTX® Walnut 11.5 M,4.1/5,7.0,142.0
La Sportiva Womens Bushido II GTX Trail Running Shoes,4.5/5,31.0,99.0
"Merrell Men's Moab 2 MID GTX High Rise Hiking Boots, Grey Beluga, 10.5",4.4/5,301.0,84.0
ALTRA Men's Olympus 6 Hike Low GTX Shoe,,,219.0
"Danner Trail 2650 Gore-Tex Mid 4"" Waterproof Hiking Shoes for Men - Suede and Textile Upper with Comfort Footbed, EXO Heel System & Traction Outsole",4.4/5,170.0,199.0
Lowa Men's Zephyr GTX Mid Hiking Boot,4.6/5,285.0,235.0
adidas TERREX AGRAVIC FLOW 2 TRAIL RUNNING SHOES Women's,3.9/5,35.0,49.0
adidas Terrex Swift R3 Mid GTX®,4.6/5,85.0,89.0
Teva Men's Grandview GTX Hiking Boot,4.2/5,116.0,121.0
adidas TERREX AGRAVIC FLOW 2 TRAIL RUNNING SHOES Women's,3.9/5,35.0,49.0
LOWA mens,4.4/5,105.0,216.0
Teva Men's Grandview GTX Hiking Boot,4.2/5,116.0,121.0
La Sportiva Mens Bushido II GTX Trail Running Shoes,4.2/5,39.0,108.0
GIGABYTE GeForce GT 1030 Low Profile D4 2GB Graphics Card GV-N1030D4-2GL,4.6/5,187.0,69.0
HOKA ONE ONE mens Low-top,4.2/5,35.0,177.0
New Balance womens Fresh Foam Garoé V1 Midcut,3.8/5,11.0,119.0
ASICS Men's Gel-Trabuco 12 Running Shoe,4.5/5,5.0,159.0
Arc'teryx Konseal FL 2 Leather GTX Shoe Men's | Fast and Light Gore-Tex Leather Approach Shoe,4.1/5,24.0,220.0
La Sportiva men's Tx 4 Evo Mid Gtx Hiking Shoe,,,218.0
Lowa Women's Renegade GTX Mid Hiking Boot,4.5/5,962.0,203.0
Timberland Womens Lincoln Peak Gtx,5.0/5,2.0,69.0
ALTRA Men's TIMP Hiker GTX Trail Shoe,3.7/5,14.0,149.0
"Lowa Men's Renegade GTX Mid Hiking Boot,Sepia/Sepia,10 M US",3.7/5,30.0,
HOKA ONE ONE Kaha 2 Gtx Unisex Shoes,,,239.0
Zamberlan 217 Free Blast GTX,4.1/5,16.0,229.0
ALTRA Men's TIMP Hiker GTX Trail Shoe,3.7/5,14.0,149.0
Merrell Women's Camping and Hiking Shoe,4.2/5,47.0,73.0
Zamberlan 217 Free Blast GTX,4.1/5,16.0,229.0
HOKA ONE ONE Kaha 2 Gtx Unisex Shoes,,,239.0
Salewa Mountain Trainer Lite Mid GTX - Men's,4.3/5,976.0,131.0
Arc'teryx Vertex Alpine GTX Shoe Men's | Fast and Light Gore-Tex Approach Shoe,,,250.0
Salomon Women's Speedcross 6 GTX Sneaker,3.9/5,21.0,169.0
Arc'teryx Konseal Fl 2 Leather GTX Black/Black 9 B (M),,,220.0
New Balance mens Fresh Foam X Hierro V1 Mid-cut,4.4/5,156.0,179.0
Lowa Mens Zephyr GTX Hi TF Boots CoyoteOP,4.8/5,54.0,299.0
Timberland Womens Lincoln Peak Gtx,5.0/5,2.0,69.0
adidas Terrex Free Hiker 2 Low GORE-TEX®,4.1/5,15.0,90.0
